INFO:rwcb_one_subtree:leaf_level = 3, time_interval: 11
INFO:rwcb_one_subtree:leaf_level = 4, time_interval: 13
INFO:rwcb_one_subtree:leaf_level = 5, time_interval: 15
INFO:rwcb_one_subtree:leaf_level = 6, time_interval: 17
INFO:rwcb_one_subtree:leaf_level = 7, time_interval: 19
INFO:rwcb_one_subtree:leaf_level = 8, time_interval: 21
INFO:rwcb_one_subtree:leaf_level = 9, time_interval: 23
INFO:rwcb_one_subtree:leaf_level = 10, time_interval: 25
INFO:rwcb_one_subtree:leaf_level = 11, time_interval: 27
INFO:rwcb_one_subtree:leaf_level = 12, time_interval: 29
INFO:rwcb_one_subtree:leaf_level = 13, time_interval: 31
INFO:rwcb_one_subtree:leaf_level = 14, time_interval: 33
INFO:rwcb_one_subtree:leaf_level = 15, time_interval: 35
INFO:rwcb_one_subtree:leaf_level = 16, time_interval: 37
